Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Gender	Age	Phases	Enrollment	Study Type	Start Date	Locations	URL
135	NCT03602677	Indocyanine Green Fluorescence Imaging in Prevention of Colorectal Anastomotic Leakage	Recruiting	No Results Available	Colorectal Cancer|Colorectal Neoplasms|Gastrointestinal Cancer|Gastrointestinal Neoplasms|Diverticulosis, Colonic|Gastrointestinal Disease	Device: ICG fluorescence imaging	All	18 Years and older   (Adult, Older Adult)	Not Applicable	1062	Interventional	September 24, 2018	Central Finland Central Hospital, Jyväskylä, Finland|Päijät Häme Central Hospital, Lahti, Finland	https://ClinicalTrials.gov/show/NCT03602677
136	NCT03602014	Dose Response to the Norepinephrine Precursor Droxidopa in Hypotensive Individuals With Spinal Cord Injury	Recruiting	No Results Available	Hypotension, Orthostatic|Hypotension|Spinal Cord Injuries	Drug: Northera	All	18 Years to 89 Years   (Adult, Older Adult)	Phase 4	65	Interventional	June 1, 2018	James J. Peters Veteran's Affair Medical Center, Bronx, New York, United States|The Icahn School of Medicine at Mount Sinai, New York, New York, United States	https://ClinicalTrials.gov/show/NCT03602014
137	NCT03600987	Effect of Music on Reading Comprehension in Patients With Aphasia	Enrolling by invitation	No Results Available	Aphasia	Behavioral: Simultaneous music and reading lyrics|Behavioral: Priming with music|Behavioral: Control	All	18 Years and older   (Adult, Older Adult)	Not Applicable	4	Interventional	April 4, 2018	Carilion Franklin Memorial Hospital, Carilion Community Memorial Hospital Inpatient Rehab, Carilion Day Rehab, Rocky Mount, Virginia, United States	https://ClinicalTrials.gov/show/NCT03600987
138	NCT03598114	Evaluating and Improving the Sustainability of State-level Tobacco Control Programs in the United States	Enrolling by invitation	No Results Available	Program Sustainability|Tobacco Use	Behavioral: Program Sustainability Action Planning Model and Training Curricula	All	18 Years and older   (Adult, Older Adult)	Not Applicable	288	Interventional	July 1, 2018	Prevention Research Center in St. Louis, Saint Louis, Missouri, United States	https://ClinicalTrials.gov/show/NCT03598114
139	NCT03593889	Collaborative Stepped Care and Peer Support Programme for Older People At-Risk of or With Depression	Recruiting	No Results Available	Depressive Symptoms	Behavioral: Collaborative stepped care and peer support programme|Other: Treatment as usual	All	60 Years and older   (Adult, Older Adult)	Not Applicable	2500	Interventional	October 1, 2017	Hong Kong Sheng Kung Hui Lady MacLehose Centre, Kwai Chung, Hong Kong|New Life Psychiatric Rehabilitation Association, Kwai Chung, Hong Kong|Christian Family Service Centre, Kwun Tong, Hong Kong|The Mental Health Association of Hong Kong, Kwun Tong, Hong Kong|Caritas Hong Kong, Sham Shui Po, Hong Kong|New Life Psychiatric Rehabilitation Association, Sham Shui Po, Hong Kong|Christian Family Service Centre, Tseung Kwan O, Hong Kong|Haven of Hope Christian Service, Tseung Kwan O, Hong Kong	https://ClinicalTrials.gov/show/NCT03593889
140	NCT03593148	The Effect of Lifestyle Treatment in Patients With Morbid Obesity	Recruiting	No Results Available	Physical Capacity|Leg Strength|Eating Behavior|Life of Quality	Other: Lifestyle	All	18 Years to 99 Years   (Adult, Older Adult)	Not Applicable	600	Interventional	April 1, 2017	Jarle Berge, Tønsberg, Norway	https://ClinicalTrials.gov/show/NCT03593148
141	NCT03591237	MBCT for Cancer Patients in Follow-Up	Recruiting	No Results Available	Pain Management	Behavioral: Mindfulness-Based Cognitive Therapy	All	18 Years and older   (Adult, Older Adult)	Not Applicable	120	Interventional	March 1, 2018	Aarhus University, Aarhus, Jylland, Denmark|Dept of Oncology, Aarhus University Hospital, Aarhus, Jylland, Denmark	https://ClinicalTrials.gov/show/NCT03591237
142	NCT03585920	The Influence of Fat Perception on Satiety From Consumption of Reduced Fat Snacks	Recruiting	No Results Available	Appetitive Behavior|Individual Difference|Food Sensitivity|Food Preferences	Behavioral: Expanded Corn Snack	All	18 Years to 70 Years   (Adult, Older Adult)	Not Applicable	50	Interventional	July 2, 2018	Sensory Science Centre, Department of Food and Nutritional Science, University of Reading, Reading, Berkshire, United Kingdom	https://ClinicalTrials.gov/show/NCT03585920
143	NCT03585192	Safety of Immediate Skin-to-Skin Contact After Vaginal Birth in Vigorous Late-Preterm Neonates	Recruiting	No Results Available	Safety Issues	Other: Skin Group|Other: Warmer Group	All	Child, Adult, Older Adult	Not Applicable	92	Interventional	November 8, 2017	UH Cleveland Medical Center, Cleveland, Ohio, United States	https://ClinicalTrials.gov/show/NCT03585192
144	NCT03582046	Targeting Abdominal Perfusion Pressure in Septic Shock	Recruiting	No Results Available	Acute Kidney Injury|Septic Shock|Resuscitations	Device: Abdominal Perfusion Pressure (APP)	All	18 Years and older   (Adult, Older Adult)	Not Applicable	200	Interventional	February 5, 2019	Central Arkansas Veterans Healthcare System, Little Rock, Arkansas, United States|Grady Memorial Hospital, Atlanta, Georgia, United States	https://ClinicalTrials.gov/show/NCT03582046
145	NCT03579303	Homoeopathy and Yoga in the Treatment of Menstrual Disorders in Females With Polycystic Ovarian Syndrome	Recruiting	No Results Available	Menstrual Disorders|Polycystic Ovary Syndrome	Other: Homoeopathic Remedies	Female	18 Years to 36 Years   (Adult)	Not Applicable	84	Interventional	October 2018	Fr Muller Homoeopathic Medical College, Mangalore, Karnataka, India	https://ClinicalTrials.gov/show/NCT03579303
146	NCT03578848	Guiding Hypertension Management Using Different Blood Pressure Monitoring Strategies	Recruiting	No Results Available	Hypertension	Device: uAOBP|Device: Home BP|Device: CBP	All	20 Years to 90 Years   (Adult, Older Adult)	Not Applicable	252	Interventional	June 6, 2018	Taipei Veterans General Hospital, Taipei, Taiwan	https://ClinicalTrials.gov/show/NCT03578848
147	NCT03578432	Everolimus in Restoring Salivary Gland Function in Participants With Locally Advanced Head and Neck Cancer Treated With Radiation Therapy	Recruiting	No Results Available	Salivary Gland Dysfunction|Xerostomia|Head and Neck Cancer	Drug: Everolimus|Other: Laboratory Biomarker Analysis|Other: Survey Administration	All	18 Years to 75 Years   (Adult, Older Adult)	Early Phase 1	16	Interventional	May 4, 2018	The University of Arizona Cancer Center, Phoenix, Arizona, United States	https://ClinicalTrials.gov/show/NCT03578432
148	NCT03577301	Young Men's Health Project Targeting HIV Risk Reduction and Substance Abuse	Recruiting	No Results Available	HIV Infections	Behavioral: Clinic-based Delivery|Behavioral: Remote Delivery	Male	15 Years to 24 Years   (Child, Adult)	Not Applicable	270	Interventional	October 4, 2018	University of Miami Miller School of Medicine, Miami, Florida, United States|Wayne State University, Detroit, Michigan, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03577301
149	NCT03577106	A Pilot Functional Magnetic Resonance Imaging (fMRI) Study of TMS in Late-Life Severe Worry	Enrolling by invitation	No Results Available	Anxiety Disorders Generalized	Device: Transcranial magnetic stimulation (TMS)	All	50 Years and older   (Adult, Older Adult)	Not Applicable	20	Interventional	December 6, 2018	University of Pittsburgh, Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03577106
150	NCT03577054	Development of a Mobile Application for HBB Prompt Study	Recruiting	No Results Available	Birth Asphyxia|Neonatal Death	Behavioral: HBB Prompt|Behavioral: Low-Dose High Frequency training	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	20	Interventional	May 14, 2018	Mbarara University of Science and Technology, Mbarara, Uganda	https://ClinicalTrials.gov/show/NCT03577054
151	NCT03575026	Effectiveness-Implementation Cluster RCT to Improve Community-dwelling Early Dementia Patients by Music Intervention	Recruiting	No Results Available	Dementia	Behavioral: Music-with-movement|Behavioral: Usual care	All	60 Years and older   (Adult, Older Adult)	Not Applicable	75	Interventional	April 18, 2018	School of Nursing, The Hong Kong Polytechnic University, Hong Kong, Hong Kong	https://ClinicalTrials.gov/show/NCT03575026
152	NCT03568812	The Role of Probiotics in HIV Patients With Immunological Non-Responder	Recruiting	No Results Available	HIV Infections|Immunological Abnormality	Drug: Rillus®|Other: Placebo	All	18 Years to 55 Years   (Adult)	Phase 2	80	Interventional	May 7, 2018	HIV Clinic, Cipto Mangunkusumo Hospital, Jakarta, Indonesia	https://ClinicalTrials.gov/show/NCT03568812
153	NCT03567031	Impact of CO2 on Cerebral Blood Flow in Infants Less Than 6 Months During General Anaesthesia	Recruiting	No Results Available	Anesthesia, General|Infant	Procedure: EtCO2 modification	All	up to 6 Months   (Child)	Not Applicable	60	Interventional	November 27, 2017	Sainte Justine's Hospital, Montréal, Quebec, Canada	https://ClinicalTrials.gov/show/NCT03567031
154	NCT03567018	Comprehensive Imaging of Perforator Vessels and Subcutaneous Vascular Network With No-Exogenous Contrast and Non-Ionizing-Radiation Magnetic Resonance Angiography	Recruiting	No Results Available	Perforator Flap Surgery	Device: MRI Scan	All	18 Years and older   (Adult, Older Adult)	Not Applicable	75	Interventional	July 2, 2012	Martha Morehouse Medical Plaza, Columbus, Ohio, United States|The Ohio State University Hospital, Columbus, Ohio, United States	https://ClinicalTrials.gov/show/NCT03567018
155	NCT03565354	Efficacy of Preoperative Intravenous Iron in Anaemic Colorectal Cancer Surgical Patients	Recruiting	No Results Available	Anemia, Iron-Deficiency|Colorectal Cancer	Drug: iron isomaltoside(Monofer®)	All	18 Years and older   (Adult, Older Adult)	Phase 3	40	Interventional	July 1, 2018	Prince of Wales Hospital, Shatin, Hong Kong	https://ClinicalTrials.gov/show/NCT03565354
156	NCT03564665	Investigating Magnesium Glycinate in Structure/Function Role of Hot Flashes.	Recruiting	No Results Available	Hot Flashes	Dietary Supplement: 400mg Magnesium Glycinate BID|Other: Placebo	Female	25 Years to 85 Years   (Adult, Older Adult)	Not Applicable	40	Interventional	July 24, 2018	Mayo Clinic in Florida, Jacksonville, Florida, United States	https://ClinicalTrials.gov/show/NCT03564665
157	NCT03562546	The Effect of Structured Exercise on Chronic Venous Insufficiency	Recruiting	No Results Available	Chronic Venous Insufficiency	Other: Strength From Within	All	18 Years to 99 Years   (Adult, Older Adult)	Not Applicable	60	Interventional	August 1, 2018	Galway Clinic, Galway, Ireland	https://ClinicalTrials.gov/show/NCT03562546
158	NCT03561961	Prostate Radiotherapy Comparing Moderate and Extreme Hypo-fractionation (PRIME Trial)	Recruiting	No Results Available	Prostate Adenocarcinoma	Radiation: Moderate Hypo-fractionation|Radiation: Extreme Hypo-fractionation	Male	18 Years and older   (Adult, Older Adult)	Not Applicable	434	Interventional	May 24, 2018	Dr Vedang Murthy, Navi-Mumbai, Maharashtra, India	https://ClinicalTrials.gov/show/NCT03561961
159	NCT03561103	Impact of Representative Payee Services on ART Adherence Among Marginalized People Living With HIV/AIDS	Recruiting	No Results Available	Human Immunodeficiency Virus	Behavioral: Client-Centered Representative Payee	All	18 Years to 100 Years   (Adult, Older Adult)	Not Applicable	320	Interventional	May 1, 2017	Action Wellness, Philadelphia, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03561103
160	NCT03559751	Evaluation of the Abuse Liability of Very Low Nicotine (VLN) Cigarettes	Recruiting	No Results Available	Tobacco Use	Other: VLN cigarettes (A)|Other: Usual Brand Cigarettes (B)|Drug: Nicotine gum (C)	All	22 Years to 65 Years   (Adult, Older Adult)	Phase 1	54	Interventional	April 13, 2018	Vince & Associates Clinical Research, Inc, Overland Park, Kansas, United States	https://ClinicalTrials.gov/show/NCT03559751
161	NCT03559179	Clinical Decision Support for Opioid Use Disorders in Medical Settings: Usability Testing in an EMR	Enrolling by invitation	No Results Available	Opioid-use Disorder	Other: Opioid Wizard	All	Child, Adult, Older Adult	Not Applicable	43	Interventional	April 30, 2018	HealthPartners, Bloomington, Minnesota, United States	https://ClinicalTrials.gov/show/NCT03559179
162	NCT03558763	Remote Monitoring of Patients With COPD	Recruiting	No Results Available	COPD	Device: Telemonitoring|Other: Normal Care	All	45 Years and older   (Adult, Older Adult)	Not Applicable	70	Interventional	June 7, 2018	COPD center, Gothenburg, Västra Götaland, Sweden	https://ClinicalTrials.gov/show/NCT03558763
163	NCT03555500	Fasting or Non Fasting for Cardiac Catheterization	Recruiting	No Results Available	Fasting|Cardiac Catheterization	Other: Non fasting	All	18 Years and older   (Adult, Older Adult)	Not Applicable	350	Interventional	November 2, 2017	Blackpool Victoria Hospital, Blackpool, Lancashire, United Kingdom	https://ClinicalTrials.gov/show/NCT03555500
164	NCT03553927	Investigating the Physiological Effects of Weight Loss on Male Fertility	Recruiting	No Results Available	Male Infertility|Obesity|Weight Loss	Dietary Supplement: Low Energy Diet|Other: NHS advice on healthy eating	Male	18 Years to 60 Years   (Adult)	Not Applicable	136	Interventional	May 16, 2018	Imperial College NHS Healthcare Trust, North West London, United Kingdom	https://ClinicalTrials.gov/show/NCT03553927
165	NCT03553004	Niraparib in Metastatic Pancreatic Cancer After Previous Chemotherapy (NIRA-PANC): a Phase 2 Trial	Recruiting	No Results Available	Pancreatic Cancer	Drug: Niraparib Treatment	All	18 Years and older   (Adult, Older Adult)	Phase 2	18	Interventional	January 22, 2019	University of Kansas Cancer Center - Clinical Research Center, Fairway, Kansas, United States|University of Kansas Cancer Center - West, Kansas City, Kansas, United States|University of Kansas Cancer Center - Overland Park, Overland Park, Kansas, United States|The University of Kansas Cancer Center, Westwood, Kansas, United States|University of Kansas Cancer Center - North, Kansas City, Missouri, United States|University of Kansas Cancer Center - Lee's Summit, Lee's Summit, Missouri, United States	https://ClinicalTrials.gov/show/NCT03553004
166	NCT03552523	The Set-Point Study for Type 2 Diabetes: Evaluating the Use of an Insulin Only Bionic Pancreas System in Type 2 Diabetes	Recruiting	No Results Available	Type 2 Diabetes Mellitus	Device: Bionic Pancreas|Other: Usual Care	All	18 Years and older   (Adult, Older Adult)	Not Applicable	20	Interventional	July 28, 2017	Diabetes Research Center, Boston, Massachusetts, United States	https://ClinicalTrials.gov/show/NCT03552523
167	NCT03550885	Diet Modulation of Bacterial Sulfur and Bile Acid Metabolism and Colon Cancer Risk	Recruiting	No Results Available	Colorectal Cancer	Other: High taurine and saturated fat diet|Other: Low in taurine and saturated fat diet	All	45 Years to 75 Years   (Adult, Older Adult)	Not Applicable	44	Interventional	August 1, 2018	Rush University Medical Center and University of Illinois at Chicago, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT03550885
168	NCT03543098	STaR Trial: Multiple Ligament Knee Injuries	Recruiting	No Results Available	Knee Dislocations|Multiple Ligament Knee Injuries	Procedure: Early Surgery|Procedure: Delayed Surgery|Procedure: Early Rehab|Procedure: Delayed Rehab	All	16 Years to 55 Years   (Child, Adult)	Not Applicable	690	Interventional	July 31, 2018	University of Pittsburgh, Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03543098
